1;nico;que poder debe tener un cliente para representar a su empresa
2;nico;que debo hacer en caso de embargo de una cuenta corriente del banco
3;nico;Se puede depositar dinero sin cedula de identidad vigente
4;nico;la colilla entregada por el registro civil reemplaza la cedula de Identidad
5;nico;que se requiere para girar de una cuenta vista
6;nico;puedo girar por caja con una CI vencido?
7;nico;puede una persona girar en efectivo con el pasaporte al dia? 
8;nico;puede una persona girar en efectivo con el pasaporte al dia 
9;nico;puede un chileno girar dinero en efectivo con su pasaporte al dia
10;nico;puede un cliente modificar los registros bancarios con su pasaporte
11;nico;que debe firmar el Cliente para suscribir el pagare
12;nico;si el cliente extranjero obtiene un nuevo RUT que debe hacer
13;nico;puede un tercero operar en nombre de otra persona
14;nico;puede una persona hacer tramites en nombre de un Cliente con poderes otorgados por GILDA
15;nico;Que es GILDA
16;nico;puede una persona hacer transacciones bancarias en nombre de un Cliente con un poder otorgado por GILDA 
17;nico;puede un tercero operar con poderes otorgados por GILDA
18;nico;puede un tercero hacer giro en nombre de un Cliente con un poder simple
19;nico;que poderes debe presentar un tercero para poder girar dinero en nombre de un Cliente
20;nico;puede operar un tercero en nombre de un Cliente con una carta poder
21;nico;puede un tercero operar en nombre de una sociedad
22;nico;puede un Cliente menor de edad realizar transacciones en el Banco
24;nico;puede girar dinero un menor de edad si sus padres fallecieron
25;nico;puede girar dinero un menor de edad si uno de sus padres ha fallecido
26;nico;Que tramites debe hacer un menor de Edad si uno de sus padres ha fallecido
27;nico;que se debe hacer si uno de los padres de un menor de edad ha fallecido
28;nico;que debe hacer un menor de edad si uno de sus padres ha fallecido
29;nico;que certificados se deben presentar cuando fallece el padre de un menor de edad
30;nico;que certificados del menor de edad se debe presentar cuando ha fallecido la Madre
31;nico;puede un curador girar dinero de un Cliente interdicto
32;nico;que poderes necesita un curador para acreditar su calidad y retirar dinero
33;nico;puede un curador cerrar los productos del Banco
34;nico;que debe hacer un curador al ser nombrada la interdiccion de un Cliente
35;nico;puede un curador vender una propiedad de un Cliente Interdicto
